                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.6561,                 1.2297,                0.98662,                0.68132,                0.59757,                 0.6355,                0.43589,                 1.6231,                 1.1812,                0.99014,             0.00051931,             0.00051931,             0.00051931
                     62,                 1.6309,                 1.2208,                0.98748,                0.69347,                0.59399,                0.62815,                0.43359,                 1.6106,                 1.1855,                0.99179,             0.00051815,             0.00051815,             0.00051815
                     63,                 1.6289,                 1.2091,                0.98387,                 0.6806,                0.60263,                0.62706,                0.42714,                 1.6179,                  1.196,                0.98957,             0.00051698,             0.00051698,             0.00051698
                     64,                 1.6517,                 1.2392,                0.98751,                0.69358,                0.59357,                0.64471,                0.43712,                 1.6289,                 1.2128,                0.98657,             0.00051582,             0.00051582,             0.00051582
                     65,                 1.6401,                 1.2248,                0.98136,                0.76027,                0.59161,                0.64419,                0.44832,                 1.5938,                 1.1652,                0.98593,             0.00051465,             0.00051465,             0.00051465
                     66,                 1.6334,                 1.2084,                0.97972,                0.73494,                0.58673,                0.65222,                0.45411,                 1.6094,                 1.1645,                0.98705,             0.00051349,             0.00051349,             0.00051349
                     67,                 1.6213,                 1.1922,                0.97585,                0.73585,                0.57923,                0.63551,                0.44092,                 1.6173,                 1.1769,                0.98803,             0.00051232,             0.00051232,             0.00051232
                     68,                 1.6159,                 1.1947,                0.97806,                0.71026,                0.58653,                0.63629,                0.44174,                 1.6193,                 1.1641,                0.98419,             0.00051116,             0.00051116,             0.00051116
                     69,                 1.6271,                 1.1968,                0.98232,                0.71577,                 0.6245,                0.65672,                0.45263,                 1.5958,                 1.1379,                0.98283,                0.00051,                0.00051,                0.00051
                     70,                 1.5824,                 1.1685,                0.97546,                 0.7317,                0.60798,                0.66362,                0.45943,                  1.607,                  1.158,                0.98549,             0.00050883,             0.00050883,             0.00050883
                     71,                 1.6149,                 1.1898,                0.97619,                0.73114,                0.59086,                0.64821,                0.44303,                 1.6102,                 1.1565,                0.98915,             0.00050767,             0.00050767,             0.00050767
                     72,                 1.6041,                 1.1691,                0.97865,                0.76066,                 0.6006,                0.66961,                 0.4405,                 1.6442,                 1.1359,                0.99731,              0.0005065,              0.0005065,              0.0005065
                     73,                 1.5984,                 1.1717,                0.97089,                0.74578,                0.61709,                0.67859,                0.47445,                 1.5894,                 1.1191,                0.98209,             0.00050534,             0.00050534,             0.00050534
                     74,                 1.6048,                 1.1654,                0.97158,                0.72035,                0.61758,                0.66277,                0.46789,                 1.5695,                 1.1385,                 0.9799,             0.00050417,             0.00050417,             0.00050417
                     75,                 1.6106,                 1.1627,                0.97106,                 0.7087,                0.61657,                0.66128,                0.46443,                 1.5768,                 1.1423,                0.97842,             0.00050301,             0.00050301,             0.00050301
                     76,                 1.5942,                 1.1487,                0.97281,                0.76055,                0.61975,                0.68249,                0.47854,                 1.5783,                 1.1263,                0.97858,             0.00050185,             0.00050185,             0.00050185
                     77,                 1.5822,                 1.1485,                0.97345,                0.75917,                0.60731,                0.67304,                0.46778,                 1.5864,                 1.1221,                0.97893,             0.00050068,             0.00050068,             0.00050068
                     78,                 1.5869,                 1.1424,                0.96753,                0.75389,                0.61265,                0.67669,                 0.4756,                 1.5728,                 1.1098,                 0.9777,             0.00049952,             0.00049952,             0.00049952
